fips,year,month,total_deaths,sex_1,sex_2
11040,1998,12,5,4,1
11040,1999,1,6,5,1
11040,1999,2,5,4,1
11040,1999,3,1,1,0
11040,1999,4,1,0,1
11040,1999,5,3,2,1
11040,1999,6,4,3,1
11040,1999,7,6,4,2
11040,1999,8,6,5,1
11040,1999,9,3,1,2
11040,1999,10,3,2,1
11040,1999,11,5,5,0
11040,2000,1,5,4,1
11040,2000,2,2,2,0
11040,2000,3,1,1,0
11040,2000,4,2,0,2
11040,2000,5,3,2,1
11040,2000,6,4,3,1
11040,2000,7,2,2,0
11040,2000,8,2,1,1
11040,2000,9,2,2,0
11040,2000,10,4,2,2
11040,2000,11,2,2,0
11040,2000,12,4,3,1
11040,2001,1,2,2,0
11040,2001,2,3,3,0
11040,2001,3,1,1,0
11040,2001,4,5,4,1
11040,2001,5,3,1,2
11040,2001,6,2,2,0
11040,2001,8,3,3,0
11040,2001,9,3,1,2
